,ADVB,NOUN,NUMR,ADJ,NPRO,PRED,VERB,CONJ,INTJ,PREP,PRCL,PRTF,GRND
Паросепаратор,0.0,0.45,0.0,0.15,0.0,0.0,0.2,0.05,0.0,0.1,0.05,,
Пароход,0.0,0.441,0.0,0.235,0.0,0.0,0.118,0.118,0.0,0.088,0.0,,
Парусина,0.008,0.441,0.0,0.186,0.008,0.0,0.11,0.068,0.0,0.161,0.017,,
Пассажирское судно,0.034,0.381,0.007,0.252,0.007,0.0,0.109,0.048,0.0,0.136,0.027,,
Пение,0.026,0.435,0.0,0.221,0.0,0.0,0.104,0.097,0.0,0.091,0.026,,
Пенсильвания,0.037,0.778,0.0,0.111,0.0,0.0,0.0,0.037,0.0,0.037,0.0,,
Первая мировая война,0.014,0.435,0.014,0.231,0.007,0.0,0.088,0.041,0.0,0.17,0.0,,
Переборка,0.0,0.435,0.0,0.229,0.008,0.0,0.061,0.046,0.0,0.198,0.023,,
Перелом кости,0.029,0.457,0.0,0.171,0.014,0.0,0.129,0.086,0.0,0.1,0.014,,
Пиво,0.036,0.491,0.0,0.2,0.0,0.0,0.109,0.036,0.0,0.127,0.0,,
Пикули,0.0,0.429,0.0,0.143,0.0,0.0,0.143,0.071,0.0,0.214,0.0,,
Пилястра,0.031,0.414,0.004,0.198,0.018,0.004,0.115,0.084,0.0,0.106,0.026,,
Плавательный бассейн,0.0,0.423,0.0,0.385,0.0,0.0,0.038,0.077,0.0,0.077,0.0,,
Платан,0.0,0.421,0.0,0.316,0.053,0.0,0.105,0.053,0.0,0.053,0.0,,
Поезд,0.012,0.326,0.0,0.198,0.047,0.0,0.174,0.093,0.0,0.128,0.023,,
Позолота,0.0,0.467,0.0,0.2,0.033,0.0,0.1,0.067,0.0,0.133,0.0,,
Покер,0.033,0.396,0.011,0.165,0.011,0.011,0.143,0.099,0.0,0.121,0.011,,
Полубак,0.026,0.462,0.0,0.218,0.0,0.0,0.064,0.064,0.0,0.167,0.0,,
Портальный кран,0.0,0.368,0.0,0.263,0.0,0.0,0.158,0.053,0.0,0.158,0.0,,
Поршень,0.0,0.451,0.0,0.255,0.0,0.0,0.078,0.059,0.0,0.137,0.02,,
